Category,Item_Code,Price,Quantity,Source,Price_with_30_percent_markup
15,tw,0.214,5108,V2,0.2782
15,tw,0.435,3049,V2,0.5655
15,wa,0.292,4,V2,0.3796
15,wa,0.337,1,V2,0.43810000000000004
15,wa,0.754,1,V2,0.9802000000000001
15,wa,0.864,7,V2,1.1232
15,wa,0.975,1,V2,1.2675
15,wa,1.476,970,V2,1.9188
15,wa,1.507,96,V2,1.9590999999999998
15,wa,2.059,3206,V2,2.6767000000000003
15,wa,2.471,4004,V2,3.2123000000000004
15,wa,4.706,143,V2,6.117800000000001
15,sn,0.004,442,V2,0.005200000000000001
15,sn,0.039,6,V2,0.0507
15,sn,0.06,7,V2,0.078
15,sn,0.098,1,V2,0.1274
15,sn,0.117,1,V2,0.1521
15,sn,0.16,478,V2,0.20800000000000002
15,sn,0.2,1,V2,0.26
15,sn,0.247,856,V2,0.3211
15,sn,0.302,161,V2,0.3926
15,sn,0.534,1330,V2,0.6942
15,li,0.006,664,V2,0.0078000000000000005
15,li,0.01,103,V2,0.013000000000000001
15,li,0.02,1006,V2,0.026000000000000002
15,li,0.031,1854,V2,0.0403
15,li,0.035,22,V2,0.045500000000000006
15,li,0.045,5120,V2,0.058499999999999996
15,li,0.046,5802,V2,0.0598
43,fb,0.054,1,V2,0.0702
43,fb,0.067,3317,V2,0.08710000000000001
43,fb,0.071,5000,V2,0.0923
43,fb,0.087,1,V2,0.11309999999999999
43,fb,0.138,1050,V2,0.17940000000000003
43,fb,0.158,1898,V2,0.2054
43,fb,0.336,2968,V2,0.4368
43,fb,0.34,2386,V2,0.44200000000000006
43,fb,0.4,142,V2,0.52
43,fb,0.447,765,V2,0.5811000000000001
43,fb,0.535,14131,V2,0.6955000000000001
43,vi,0.01,3724,V2,0.013000000000000001
43,vi,0.116,1,V2,0.15080000000000002
43,vi,0.136,38,V2,0.1768
43,vi,0.235,1,V2,0.3055
43,vi,0.336,1378,V2,0.4368
43,vi,0.448,1966,V2,0.5824
43,vi,0.467,269,V2,0.6071000000000001
43,vi,0.835,8748,V2,1.0855
43,tg,1.222,497,V2,1.5886
43,tg,1.325,900,V2,1.7225
43,tg,2.118,8822,V2,2.7534
43,tg,2.328,350,V2,3.0263999999999998
43,tg,2.353,1,V2,3.0589000000000004
43,tg,2.448,1032,V2,3.1824
43,tg,3.004,2352,V2,3.9052000000000002
43,tg,4.011,2922,V2,5.214300000000001
43,tg,4.422,5,V2,5.7486
43,tg,7.059,624,V2,9.1767
43,ig,0.014,5000,V2,0.0182
43,ig,0.042,702,V2,0.0546
43,ig,0.054,1,V2,0.0702
43,ig,0.067,1202,V2,0.08710000000000001
43,ig,0.072,2509,V2,0.0936
43,ig,0.098,1,V2,0.1274
43,ig,0.118,696,V2,0.1534
43,ig,0.14,984,V2,0.18200000000000002
43,ig,0.242,632,V2,0.3146
43,ig,0.406,2296,V2,0.5278
43,ig,0.411,2884,V2,0.5343
43,ig,0.534,169,V2,0.6942
43,ig,0.752,5165,V2,0.9776
43,tw,0.006,2582,V2,0.0078000000000000005
43,tw,0.035,1258,V2,0.045500000000000006
43,tw,0.098,1,V2,0.1274
43,tw,0.1,1068,V2,0.13
43,tw,0.264,2410,V2,0.3432
43,tw,0.332,2998,V2,0.43160000000000004
43,tw,0.334,280,V2,0.43420000000000003
43,tw,0.686,5584,V2,0.8918000000000001
43,wa,0.4,5000,V2,0.52
43,wa,0.8,849,V2,1.04
43,wa,0.962,1887,V2,1.2506
43,wa,1.0,1059,V2,1.3
43,wa,1.067,12475,V2,1.3871
43,wa,1.098,1152,V2,1.4274000000000002
43,wa,1.25,1200,V2,1.625
43,wa,2.52,792,V2,3.2760000000000002
43,wa,2.565,1,V2,3.3345000000000002
43,wa,2.942,5,V2,3.8246
43,wa,4.102,2020,V2,5.3326
43,wa,4.288,2608,V2,5.574400000000001
43,wa,5.305,1245,V2,6.8965
43,wa,7.369,5,V2,9.5797
43,wa,9.412,1145,V2,12.235600000000002
43,li,0.006,709,V2,0.0078000000000000005
43,li,0.008,1710,V2,0.010400000000000001
43,li,0.024,1900,V2,0.031200000000000002
43,li,0.031,1074,V2,0.0403
43,li,0.067,5700,V2,0.08710000000000001
43,li,0.167,4403,V2,0.21710000000000002
43,sc,0.19,1074,V2,0.24700000000000003
43,sc,0.4,2416,V2,0.52
43,sc,0.483,3004,V2,0.6279
43,sc,0.734,280,V2,0.9542
43,sc,0.79,1900,V2,1.0270000000000001
43,sc,1.052,914,V2,1.3676000000000001
16,fb,0.051,194,V2,0.0663
16,fb,0.054,2,V2,0.0702
16,fb,0.067,6869,V2,0.08710000000000001
16,fb,0.074,532,V2,0.0962
16,fb,0.084,3,V2,0.1092
16,fb,0.087,1,V2,0.11309999999999999
16,fb,0.094,63561,V2,0.1222
16,fb,0.1,9162,V2,0.13
16,fb,0.12,13786,V2,0.156
16,fb,0.138,4192,V2,0.17940000000000003
16,fb,0.159,340,V2,0.20670000000000002
16,fb,0.16,19018,V2,0.20800000000000002
16,fb,0.335,5,V2,0.43550000000000005
16,fb,0.787,19,V2,1.0231000000000001
16,fb,0.835,326,V2,1.0855
16,vi,0.031,92497,V2,0.0403
16,vi,0.084,200,V2,0.1092
16,vi,0.099,162,V2,0.1287
16,vi,0.1,30254,V2,0.13
16,vi,0.102,3950,V2,0.1326
16,vi,0.116,1,V2,0.15080000000000002
16,vi,0.12,14146,V2,0.156
16,vi,0.134,299,V2,0.17420000000000002
16,vi,0.146,5065,V2,0.1898
16,vi,0.174,3807,V2,0.22619999999999998
16,tg,0.428,1000,V2,0.5564
16,tg,0.828,20816,V2,1.0764
16,tg,0.883,1,V2,1.1479000000000001
16,tg,0.93,3924,V2,1.209
16,tg,1.03,95214,V2,1.3390000000000002
16,tg,1.142,200,V2,1.4846
16,tg,1.432,10912,V2,1.8616
16,tg,1.507,51,V2,1.9590999999999998
16,tg,1.51,5,V2,1.963
16,tg,1.717,15652,V2,2.2321
16,tg,1.796,258,V2,2.3348
16,tg,2.693,5140,V2,3.5009
16,tg,7.369,124,V2,9.5797
16,ig,0.016,702,V2,0.020800000000000003
16,ig,0.019,615,V2,0.0247
16,ig,0.028,7,V2,0.0364
16,ig,0.034,6320,V2,0.0442
16,ig,0.045,11018,V2,0.058499999999999996
16,ig,0.054,1,V2,0.0702
16,ig,0.059,3,V2,0.0767
16,ig,0.064,1,V2,0.08320000000000001
16,ig,0.067,1046,V2,0.08710000000000001
16,ig,0.071,20991,V2,0.0923
16,ig,0.08,2922,V2,0.10400000000000001
16,ig,0.094,44031,V2,0.1222
16,ig,0.098,1,V2,0.1274
16,ig,0.116,1,V2,0.15080000000000002
16,ig,0.134,283,V2,0.17420000000000002
16,ig,0.146,450,V2,0.1898
16,ig,0.167,5,V2,0.21710000000000002
16,ig,0.24,186,V2,0.312
16,tw,0.01,864,V2,0.013000000000000001
16,tw,0.024,275,V2,0.031200000000000002
16,tw,0.026,21444,V2,0.0338
16,tw,0.031,280,V2,0.0403
16,tw,0.047,5216,V2,0.0611
16,tw,0.054,35,V2,0.0702
16,tw,0.067,11164,V2,0.08710000000000001
16,tw,0.08,15910,V2,0.10400000000000001
16,tw,0.086,366,V2,0.1118
16,tw,0.098,1,V2,0.1274
16,tw,0.134,26,V2,0.17420000000000002
16,tw,0.2,6844,V2,0.26
16,wa,0.307,1059,V2,0.3991
16,wa,0.37,1000,V2,0.481
16,wa,0.455,7,V2,0.5915
16,wa,0.54,849,V2,0.7020000000000001
16,wa,0.62,8004,V2,0.806
